año	id_distrito	distrito	id_barrio	barrio	id_uso	uso	num_inmuebles	año_cons_medio	sup_cons	sup_suelo	valor_catastral
2014	01	Centro	011	PALACIO	A	Almacén-Estacionamiento	3034	1969	214457		129525903.84
2014	01	Centro	011	PALACIO	C	Comercial	1407	1921	223552		407605466.44
2014	01	Centro	011	PALACIO	E	Cultural	36	1937	62963		75828716.00
2014	01	Centro	011	PALACIO	G	Ocio y Hostelería	254	1919	114226		195413848.02
2014	01	Centro	011	PALACIO	I	Industrial	22	1942	13228		11807949.49
2014	01	Centro	011	PALACIO	K	Deportivo	8	1946	7238		10614658.96
2014	01	Centro	011	PALACIO	M	Suelos sin edificar, obras de urbanización y jardinería	47			130010	19915201.81
2014	01	Centro	011	PALACIO	O	Oficinas	559	1947	196893		340784134.70
2014	01	Centro	011	PALACIO	P	Edificio Singular	15	1891	197518		281666751.43
2014	01	Centro	011	PALACIO	R	Religioso	17	1884	102718		114254183.76
2014	01	Centro	011	PALACIO	T	Espectáculos	6	1941	86233		156383941.89
2014	01	Centro	011	PALACIO	V	Residencial	13133	1928	1367429		1856664182.99
2014	01	Centro	011	PALACIO	Y	Sanidad y Beneficencia	11	1939	25101		25184133.43
2014	01	Centro	012	EMBAJADORES	A	Almacén-Estacionamiento	3989	1974	261306		140312140.59
2014	01	Centro	012	EMBAJADORES	C	Comercial	2630	1925	393880		574936352.75
2014	01	Centro	012	EMBAJADORES	E	Cultural	48	1920	184010		210333924.76
2014	01	Centro	012	EMBAJADORES	G	Ocio y Hostelería	114	1919	56970		88238015.63
2014	01	Centro	012	EMBAJADORES	I	Industrial	25	1938	3677		2699860.87
2014	01	Centro	012	EMBAJADORES	K	Deportivo	2	1988	1092		1413430.17
2014	01	Centro	012	EMBAJADORES	M	Suelos sin edificar, obras de urbanización y jardinería	36			19914	16791454.50
2014	01	Centro	012	EMBAJADORES	O	Oficinas	176	1944	90991		85483632.55
2014	01	Centro	012	EMBAJADORES	P	Edificio Singular	3	1918	18576		18586882.51
2014	01	Centro	012	EMBAJADORES	R	Religioso	8	1865	17785		15345569.12
2014	01	Centro	012	EMBAJADORES	T	Espectáculos	7	1935	21278		28170766.10
2014	01	Centro	012	EMBAJADORES	V	Residencial	24603	1927	1984457		2467074544.58
2014	01	Centro	012	EMBAJADORES	Y	Sanidad y Beneficencia	9	1982	8165		8949180.47
2014	01	Centro	013	CORTES	A	Almacén-Estacionamiento	1532	1967	119842		87283393.56
2014	01	Centro	013	CORTES	C	Comercial	858	1916	146986		285597289.51
2014	01	Centro	013	CORTES	E	Cultural	22	1952	57893		112294811.69
2014	01	Centro	013	CORTES	G	Ocio y Hostelería	201	1950	277754		542910593.51
2014	01	Centro	013	CORTES	I	Industrial	9	1945	13510		13005693.38
2014	01	Centro	013	CORTES	K	Deportivo	1	1917	260		372685.34
2014	01	Centro	013	CORTES	M	Suelos sin edificar, obras de urbanización y jardinería	6			1817	4622966.00
2014	01	Centro	013	CORTES	O	Oficinas	369	1946	420640		946732510.93
2014	01	Centro	013	CORTES	P	Edificio Singular	23	1934	219215		316172247.13
2014	01	Centro	013	CORTES	R	Religioso	8	1868	27211		25747882.38
